pv ,fp100,fp200
0,0.01,0
0.005050505,0.01,0
0.01010101,0.04,0.01
0.015151515,0.04,0.01
0.02020202,0.04,0.02
0.025252525,0.04,0.02
0.03030303,0.05,0.02
0.035353535,0.05,0.02
0.04040404,0.07,0.03
0.045454545,0.07,0.03
0.050505051,0.1,0.05
0.055555556,0.1,0.05
0.060606061,0.12,0.06
0.065656566,0.12,0.06
0.070707071,0.13,0.06
0.075757576,0.13,0.06
0.080808081,0.13,0.07
0.085858586,0.13,0.07
0.090909091,0.17,0.07
0.095959596,0.17,0.07
0.101010101,0.19,0.08
0.106060606,0.19,0.08
0.111111111,0.21,0.09
0.116161616,0.21,0.09
0.121212121,0.21,0.11
0.126262626,0.21,0.11
0.131313131,0.23,0.12
0.136363636,0.23,0.12
0.141414141,0.24,0.13
0.146464646,0.24,0.13
0.151515152,0.25,0.15
0.156565657,0.25,0.15
0.161616162,0.26,0.16
0.166666667,0.26,0.16
0.171717172,0.26,0.17
0.176767677,0.26,0.17
0.181818182,0.27,0.19
0.186868687,0.27,0.19
0.191919192,0.28,0.2
0.196969697,0.28,0.2
0.202020202,0.3,0.22
0.207070707,0.3,0.22
0.212121212,0.31,0.22
0.217171717,0.31,0.22
0.222222222,0.32,0.22
0.227272727,0.32,0.22
0.232323232,0.34,0.26
0.237373737,0.34,0.26
0.242424242,0.35,0.27
0.247474747,0.35,0.27
0.252525253,0.37,0.28
0.257575758,0.37,0.28
0.262626263,0.37,0.28
0.267676768,0.37,0.28
0.272727273,0.4,0.28
0.277777778,0.4,0.28
0.282828283,0.41,0.29
0.287878788,0.41,0.29
0.292929293,0.41,0.31
0.297979798,0.41,0.31
0.303030303,0.43,0.31
0.308080808,0.43,0.31
0.313131313,0.43,0.32
0.318181818,0.43,0.32
0.323232323,0.46,0.33
0.328282828,0.46,0.33
0.333333333,0.49,0.33
0.338383838,0.49,0.33
0.343434343,0.49,0.34
0.348484848,0.49,0.34
0.353535354,0.5,0.34
0.358585859,0.5,0.34
0.363636364,0.5,0.34
0.368686869,0.5,0.34
0.373737374,0.5,0.36
0.378787879,0.5,0.36
0.383838384,0.5,0.36
0.388888889,0.5,0.36
0.393939394,0.5,0.38
0.398989899,0.5,0.38
0.404040404,0.5,0.4
0.409090909,0.5,0.4
0.414141414,0.52,0.42
0.419191919,0.52,0.42
0.424242424,0.52,0.42
0.429292929,0.52,0.42
0.434343434,0.53,0.43
0.439393939,0.53,0.43
0.444444444,0.54,0.43
0.449494949,0.54,0.43
0.454545455,0.55,0.44
0.45959596,0.55,0.44
0.464646465,0.55,0.46
0.46969697,0.55,0.46
0.474747475,0.56,0.49
0.47979798,0.56,0.49
0.484848485,0.57,0.5
0.48989899,0.57,0.5
0.494949495,0.57,0.51
0.5,0.57,0.53
